tag,path,summary,required_params,all_params
BMRS Datasets,/datasets/ABUC,Amount Of Balancing Reserves Under Contract (ABUC / B1720),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/ABUC/stream,Amount Of Balancing Reserves Under Contract (ABUC / B1720) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/AGPT,Actual Aggregated Generation Per Type (AGPT / B1620),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/AGPT/stream,Actual Aggregated Generation Per Type (AGPT / B1620) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/AGWS,Actual Or Estimated Wind And Solar Power Generation (AGWS / B1630),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/AGWS/stream,Actual Or Estimated Wind And Solar Power Generation (AGWS / B1630) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/AOBE,Accepted Offered Balancing Energy (AOBE),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/AOBE/stream,Accepted Offered Balancing Energy (AOBE) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/ATL,Actual Total Load Per Bidding Zone (ATL / B0610),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/ATL/stream,Actual Total Load Per Bidding Zone (ATL / B0610) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/B1610,Actual Generation Output Per Generation Unit (B1610),"settlementDate,settlementPeriod","settlementDate,settlementPeriod,bmUnit,format"
BMRS Datasets,/datasets/B1610/stream,Actual Generation Output Per Generation Unit (B1610) stream,"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,bmUnit"
BMRS Datasets,/datasets/BEB,Balancing Energy Bids (BEB),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/BEB/stream,Balancing Energy Bids (BEB) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/BOALF,Bid Offer Acceptance Level Flagged (BOALF),"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,bmUnit,format"
BMRS Datasets,/datasets/BOALF/stream,Bid Offer Acceptance Level Flagged (BOALF) stream,"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,bmUnit"
BMRS Datasets,/datasets/BOD,Bid Offer Data (BOD),"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,bmUnit,format"
BMRS Datasets,/datasets/BOD/stream,Bid-Offer Data (BOD) stream,"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,bmUnit"
BMRS Datasets,/datasets/CBS,Current Balancing State (CBS),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/CBS/stream,Current Balancing State (CBS) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/CCM,Cost of Congestion Management (CCM / B1330),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/CCM/stream,Cost of Congestion Management (CCM / B1330) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/CDN,Credit default notices (CDN),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,bscPartyId,format"
BMRS Datasets,/datasets/CDN/stream,Credit default notices (CDN) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,bscPartyId"
BMRS Datasets,/datasets/DAG,Day-Ahead Aggregated Generation (DAG / B1430),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/DAG/stream,Day-Ahead Aggregated Generation (DAG / B1430) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/DATL,Day-Ahead Total Load Forecast Per Bidding Zone (DATL / B0620),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/DATL/stream,Day-Ahead Total Load Forecast Per Bidding Zone (DATL / B0620) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/DCI,Demand control instructions (DCI),,"publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/DCI/stream,Demand control instructions (DCI) stream,,"publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/DGWS,Day-Ahead Generation For Wind And Solar (DGWS / B1440),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/DGWS/stream,Day-Ahead Generation For Wind And Solar (DGWS / B1440) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/DISBSAD,Disaggregated Balancing Services Adjustment Data (DISBSAD),"from,to","from,to,settlementPeriodFrom,settlementPeriodTo,format"
BMRS Datasets,/datasets/DISBSAD/stream,Disaggregated Balancing Services Adjustment Data (DISBSAD) stream,"from,to","from,to,settlementPeriodFrom,settlementPeriodTo"
BMRS Datasets,/datasets/FEIB,Financial Expenses and Income for Balancing (FEIB / B1790),"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo,format"
BMRS Datasets,/datasets/FEIB/stream,Financial Expenses and Income for Balancing (FEIB / B1790) stream,"publishDateTimeFrom,publishDateTimeTo","publishDateTimeFrom,publishDateTimeTo"
BMRS Datasets,/datasets/FOU2T14D,2 to 14 days ahead generation availability aggregated by fuel type (FOU2T14D),,"fuelType,publishDate,publishDateTimeFrom,publishDateTimeTo,biddingZone,interconnector,format"
